Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review
2011,2918705,4.0,"Lovely! Ruby, legs, nose promising with dark berries, well balanced long taste. This time with sole. So happy we’ve got some more in our wine fridge. ",2018-04-28T20:11:42.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Lättdrucket rött vin med härlig strävhet . Lufta vinet ordentligt innan servering,2020-08-15T17:36:37.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Friends in Portugal... taste this... please. Algarve has some pleasant surprises. If you can't find this I will organize it for you. And this bottle is very well priced. ,2016-11-18T00:22:21.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Such an amazing Syrah for the money! This is Portugal showing off that a cheaper bottlw still can be amazing! Lots of full dark berries on the nose with ruby red legs. Well balanxed with mediumstrong tannins!! Great syrah!,2020-02-07T19:32:25.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Um Syrah biológico do Monte do Além em Odiáxere muito interessante. Começo a pensar que para além do Alentejo, esta casta está como peixe na água no Algarve.",2015-12-12T12:26:07.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Bois de cèdre, cassis, myrtille, réglisses, cacao. Attaque avec beaucoup de finesse sur les petits fruits noirs, milieu de bouche élégant et structuré, finale en toute finesse avec une touche épicée.",2018-09-12T13:35:23.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Mycket syrah! Portugisisk sol som ger resultat..,2018-10-18T15:18:55.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Que bela surpresa, um Excelente Syrah a um preço ainda melhor. Acompanhou um belo bife de alcatra com salada de tomate ""á algarvia"". O Algarve tem vinhos excelentes, só é pena que os encontremos "" cá por baixo"".",2017-06-12T12:46:49.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.5,"Tasted during the 9th Portuguese Wine Festival in Albufeira (7 May 17).  A blend of 60% Syrah and 40% Grenache. Delicious!  This is a wine for a juicy grilled steak 🥩!  A hamburger 🍔 will not do any justice to this beautiful wine🍷.  Lots of smoke 🔥, black fruits, and once it goes down your palate, bursts of pepper come out.  Definitely a heavy roast barrel.  Very vibrant for a 2011. Medium+ acidity/tannins with a wild long finish 🎢.  Highly recommended ❤️ 🍇 🍷.  Drink through 2024. Buy caseS 📦 📦 📦 (plural)!!!",2017-06-02T12:15:46.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,3.5,The beste of the 3 reds of Alem in my opinion. The PV and the Bordeaux blwnd missed the depth this one does have,2018-05-27T05:10:49.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,3.0,Tanninrik Algarve distriktet. Jordigt.,2018-06-02T20:34:24.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,3.5,Beaucoup plus travaillé que le 2008 plus fruité et moins asséchant même si il reste très asséchant en bouche ,2018-03-11T18:07:18.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,B,2020-06-19T16:21:01.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,"This the best wine on the algarve wine festival  
Is organic wine hard to get but real worth hunting,great with red meat or jamon",2017-05-05T16:07:35.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,Good,2018-06-22T21:51:55.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,For a Syrah (a grape I don’t particularly like) it was quite pleasant ,2018-07-26T22:42:36.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"4.1 Better and better! Now 8 years old. Mature black fruit. Pleasant tannins. Blackberry, smoked bacon. Prunes. I ol y vish I bought some more bottles.😩. ",2021-08-06T20:04:28.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Good value for money, smooth and bit vicious ",2021-01-30T16:25:10.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Vin du sud sur le froid rouge mais pas trop sur l'amertume pour un Syrah. Il garde une bonne fraîcheur pour un vin de 10 ans. Toutefois, un peu rêche en bouche sur la fin.",2018-06-05T20:20:32.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Agréablement fuite, peu tanique",2021-12-04T20:31:57.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,"Pleasant, smooth and easy to drink. I like Its distinctive Smokey oak odour ",2020-05-12T20:10:02.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Very different Syrah. Dry fruit specially figs at the end. ,2018-03-25T11:20:32.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.5,Bon vin frais. Bien rond en bouche. ,2018-11-12T22:07:59.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,3.0,Dry. Fruity. Bio. Still a little young.,2018-10-18T18:57:09.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,"Smooth, easy to drink, delicious",2018-09-17T11:35:20.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Excellent,2019-11-29T04:17:06.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,"Un super vin bio, corsé mais léger. Légèrement fruité.
Bravo au viticulteur!
Passe très bien avec une viande ou du poisson.
Une belle surprise dans ce petit restaurant "" o caseiro"" à Odiaxere près de autodromo do Algarve.",2017-08-26T00:33:57.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,Delicious,2018-09-13T17:42:19.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,Lovely,2018-09-06T20:24:32.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,4.0,Good wine! ,2019-03-11T19:25:44.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,3.0,"Un excellent vin acheté chez le viticulteur. Le millésime Syrah 2008 est remarquable certes boisé, le seul bémol légèrement astringent. Je viens d'ouvrir une autre bouteille et remarquable du début jusqu'à la fin, vraiment splendide et au prix de 8 e/bouteille. J'ai dégusté une autre bouteille en Août '20 et malheureusement elle n'avait plus de corps..dégustation juillet 21 du même lot et à nouveau remarquable",2019-12-03T15:17:01.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,2.8,Ligeiro ,2022-09-21T21:02:07.000Z,Monte do Além,Syrah 2011,3.9,42
2011,2918705,5.0,Soepel,2022-05-12T20:55:55.000Z,Monte do Além,Syrah 2011,3.9,42
2017,1157592,3.5,"Lavendel, mörk choklad, mineral. Inte överdriven frukt",2020-08-11T19:42:19.000Z,CARM,Reserva Tinto 2017,4.1,212
2017,1157592,3.5,"Första från Douro och helt klart positiv överraskning. Lite lätt fruktig, lätt vin. Lite bärig, lätt doft. Helt klart prisvärt  men lite för tunt för den mesta mat ",2016-02-29T18:58:45.000Z,CARM,Reserva Tinto 2017,4.1,212
2017,1157592,3.5,"Mörka bär, choklad, fylligt och lite strävt",2015-11-07T19:49:06.000Z,CARM,Reserva Tinto 2017,4.1,212
2017,1157592,3.0,"Medelstor doft, mkt smak, mörka bär, muskot, viol. stiltypiskt. mkt Gott och prisvärt ",2015-12-27T20:50:46.000Z,CARM,Reserva Tinto 2017,4.1,212
2017,1157592,4.5,"03/2022 Mittelschwerer Douro Cuvée. Tiefes Violett. Samtige Tannine.

06/2020 Brombeere, Blaubeere, Veilchen, Eiche, Vanille",2020-06-16T19:19:03.000Z,CARM,Reserva Tinto 2017,4.1,212
2017,1157592,4.4,"Heerlijk Portugese wijn. Een volle wijn met een donker paarsrode kleur. Geurt naar aarde, champignons en donker fruit. Volle smaak, stevig maar zacht met wat vanille en iets kruidigs. 18 maanden op Frans en Amerikaans eiken.",2021-03-06T22:22:49.000Z,CARM,Reserva Tinto 2017,4.1,212
