Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review,price,language
2017,1211835,4.0,"Deep Ruby with aromas of blue and red fruits with herb floral spice. On the palate, plum, blackberry and raspberry flavors with notes of licorice and black pepper. Medium+ finish, fine tannins ending with fruit and spicy herb character.",2021-01-05T01:17:11.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"4.2
It’s a really nice Syrah. Not as structured as it probably would be a few years from now but still great tannins and a nice wine. ",2020-10-04T21:58:06.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,Red and blue fruit with a medium body. Lightly tanic and easy drinking. Smooth and elegant. It's not as big and bold as some other Washington syrah.,2020-05-14T17:32:55.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"Blackcurrant, oak, red cherry, earthy on the nose.
M+ acidity and tannins.
Blackberry, blackcurrant, oak, dark cherry, plum on the palate.",2020-01-23T21:10:07.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"Dark fruit, plum, BlackBerry and a bold mouthful of good wine. Another K vinter winner. Ready to drink immediately no decanting no fuss pure enjoyment.",2020-07-05T02:49:50.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"No doubt an exceptional Syrah. Rich in aroma of blackberry and vanilla. The palate enjoys a tart beginning cranberry and finishing with blackberry, tobacco, oak & vanilla. An #Empingated Syrah. ",2021-04-30T00:01:04.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,blackberry blueberry pepper vanilla oak dark fruit plum cherry smoke chocolate black cherry minerals earthy tobacco licorice black fruit raspberry stone dark fruit dark chocolate blueberry boysenberry jam,2021-12-27T16:42:44.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"Medium to medium + body with medium tannin and a medium to medium + acidity. Notes of black cherry, cassis, black pepper, tree coal and spices. Shows a big personality, with lot of dark fruit, but still with a precise and tight structure. Will drink beautifully over the next decade. ",2021-11-27T02:13:13.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"2017 vintage. Opaque with a slight ruby rim. Nose of blue fruit and ash, a little olive? Mmuted fruit and mineral on the 2nd/3rd days. Medium+ alcohol (14.5%) and medium acidity. Medium bodied, off-dry, with subtle blue fruit. Fine tannins and a medium length finish. Hmmm... I’ve always been pleased with all the K-vintners Syrahs, but this was a little underwhelming to me. Pretty closed and one dimensional to me. Easy drinking and pleasant but not overly impressive. I’ll sit on my other bottle. 3.8 stars",2020-05-10T02:55:25.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"Another great budget Syrah from K Vintners, and I personally prefer it to their MKC this year.  It’s medium to full bodied, perhaps a bit more bold than last year, with blueberries,pepper, earth, and less of the typical olive note which I appreciate.  Will definitely look to secure a few more bottles!",2019-12-15T07:41:53.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
2017,1211835,4.0,"Easter dinner wine with leg of lamb.14.5% abv. Inky eggplant in color with a bit of a brownish tint.  Nose of vanilla, blackberry, licorice, smoke and leather.  Full bodied. Long slow grippy legs. Medium plus tannins. Pallet of BlackBerry, black cherry, pepper and bitter coffee. Well balanced with a long finish.",2020-04-12T22:14:57.000Z,K Vintners,Milbrandt Syrah 2017,4.0,238,576.1260862723343,en
