Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review,
2019,3933104,4.1,"Fancy, elegant, complex. Beautiful. Cherries, tobacco, leather, soft finish, medium tannins. Wow ",2022-06-20T03:55:53.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.5,Awesome!!,2022-03-09T17:29:31.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,"Visit to Family Torres Winery No. 4: Never fails and for me, at a price level just below 30€, excellent quality. Dark fruit, red fruit, dark chocolate, vanilla, oak, later some leather and tobacco notes, smashing cherries at the end strain into your face. Lot’s of quality at an acceptable price level!
Cheers - Salud - Prost - Santé - Saúde ",2022-02-27T14:40:33.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.2,Complex and interesting wine. Definitely needs time to breathe and open up. There was a spicy element to the wine that made it different,2022-07-31T07:23:24.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,"Very sophisticated, fruity, with a touch of smokey. Licorice. Very strange but harmonic combination. Like it!",2022-05-10T18:59:32.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,Blackberries blackcurrant chocolate vanilla earthy,2022-08-20T17:56:18.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,"Black fruit, mulberry, oak, vanilla, leather and what a fabulous name. SI. ",2022-08-14T21:17:23.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,Familia Torres visit wine No 7. A complex sophisticated wine with a very good price level!,2022-07-01T11:54:23.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.5,"Loved this wine, very deep red fruit, needs a while to breath ",2022-05-17T18:38:58.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,oak vanilla,2022-05-07T19:41:34.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,3.5,"3.7 Notes of oak, blueberries and pepper. ",2022-03-19T09:41:21.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.5,Lovely 👌🏻,2022-04-27T17:08:11.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,"Fantastic red for a spring summer day, plenty of flavour ",2022-04-22T14:09:23.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,5.0,I had this wine at the actual winery in Penedes SPAIN  and it is one of the best wines I have ever had in my life!,2022-06-06T16:09:06.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,3.8,Viking glory.,2022-09-16T19:41:59.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,"Very presentable, deep and mature but not too hard",2022-05-12T20:13:14.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,5.0,"Full bodied, heavy, thicc,",2022-04-01T17:15:10.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,5.0,Great value in Barcelona,2022-05-09T20:01:30.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,5.0,"at Angle in Barcelona
",2022-05-13T19:57:27.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.3,"June, 2022.  Blend of Syrah Garnacha, Carinena. You need a special palate for this one. A little strange, but well made. A little French oak, stainless. Kind of a melange of many things that works out well. 
Black fruits.

At the James Suckling wines of the world show. 
 They are going to come fast and furious, so hang on to your hats, kids!",2022-06-03T20:20:34.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.0,Super!,2022-03-18T13:46:54.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,3.8,"Good, acidic high little pet",2022-05-21T13:03:09.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.5,One of the best so far tasted. Amazing Spanish wine with an unforgettable bouquet of flavors and tastes of black red fruits. Ideal for meats and special food.,2021-11-28T14:09:45.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.5,"Unbelievable red, the explosive flavours of a top end Priorat, complex and long finishing, the sort of wine where you’re still finding more in the final glass. ",2021-11-02T20:28:55.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
2019,3933104,4.3,"Medium-bodied red wine that highlights violet hues over limpid layers, red-rose rim and crystalline tears. On nose, aromas of cherry, ripe fruit, vanilla, cedar and chamomile prevail. Balanced tannins and acidity. On palate notes of plum, raisin, blackberries, leather, licorice, and anise comprise its taste. Nice option for casual dinner or lunch. 

",2022-07-04T03:10:49.000Z,Familia Torres,Purgatori Costers del Segre 2019,4.1,175,
